atlas_concept_id	atlas_concept_name	atlas_concept_class	atlas_task_count	relation_count	match_type	hed_process_id	hed_process_name	notes
trm_4a3fd79d096be	abductive reasoning	ctp_C3		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d096e3	abstract analogy	ctp_C3		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d096f0	abstract knowledge	ctp_C3	1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d096fc	acoustic coding	ctp_C1		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09707	acoustic encoding	ctp_C1	1	4	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09713	acoustic phonetic processing	ctp_C6	4	3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0971e	acoustic processing	ctp_C1	3	1	close	hed_acoustic_processing	Acoustic processing	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d09735	action	ctp_C7	1	4	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b5c0	action initiation	ctp_C7			exact	hed_action_initiation	Action initiation	Primary match from hed_process_to_atlas.tsv
trm_5159c00c3dac3	action perception			1	none			No corresponding process in the 172-process catalog
trm_BKfaKR4cv8MwD	action-outcome learning				none			No corresponding process in the 172-process catalog
trm_4a3fd79d09741	activation				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0974d	activation level				none			No corresponding process in the 172-process catalog
trm_gQBevhggQHGxG	Active Cognitive Inhibition			4	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ba0d	active maintenance	ctp_C4	15	3	exact	hed_active_maintenance	Active maintenance	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b8b5	active recall	ctp_C5			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b8c1	active retrieval	ctp_C5	1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b98a	acuity	ctp_C1			none			No corresponding process in the 172-process catalog
trm_4a3fd79d09758	adaptation	ctp_C5	1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d09764	adaptive control	ctp_C7	1		none			No corresponding process in the 172-process catalog
trm_4fafd1626bf2b	addiction			3	none			No corresponding process in the 172-process catalog
trm_gSGrsqTOSBVRa	aesthetic exprience			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09770	affect perception	ctp_C1			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0977b	affect recognition	ctp_C8			none			No corresponding process in the 172-process catalog
trm_5154b2f947fe9	agency			1	close	hed_sense_of_agency	Sense of agency	Primary match from hed_process_to_atlas.tsv
trm_523f5ee64102c	agreeableness		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d097b4	altruism	ctp_C10		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d097bf	altruistic motivation	ctp_C10			none			No corresponding process in the 172-process catalog
trm_4a3fd79d097cb	alveolar	ctp_C6			none			No corresponding process in the 172-process catalog
trm_4a3fd79d097d6	amodal representation			1	none			No corresponding process in the 172-process catalog
trm_HLeH7ee55sYqJ	anaesthetised unresponsive			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d097e2	analog representation				none			No corresponding process in the 172-process catalog
trm_4a3fd79d097ed	analogical encoding			2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d097f9	analogical inference			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09804	analogical problem solving	ctp_C3			none			No corresponding process in the 172-process catalog
trm_4a3fd79d09810	analogical reasoning	ctp_C3	1	2	exact	hed_analogical_reasoning	Analogical reasoning	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0981b	analogical transfer	ctp_C3			none			No corresponding process in the 172-process catalog
trm_4a3fd79d09827	analogy			2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09833	anchoring	ctp_C3		1	none			No corresponding process in the 172-process catalog
trm_52583dceb345e	anhedonia		1		none			No corresponding process in the 172-process catalog
trm_557b471bc6cd8	animacy decision	ctp_C3	1	2	none			No corresponding process in the 172-process catalog
trm_5159beaf80413	animacy perception	ctp_C1	1	3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09849	anticipation		1	7	none			No corresponding process in the 172-process catalog
trm_523e024c14df9	antisocial personality		2		none			No corresponding process in the 172-process catalog
trm_5022ef7599294	anxiety	ctp_C8	9	1	none			No corresponding process in the 172-process catalog
trm_2aZtye4tjHl4U	anxiety sensitivity 		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d09855	apparent motion	ctp_C1		2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0986c	apperception				none			No corresponding process in the 172-process catalog
trm_52583e083c9ab	appetite		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d09877	appetitive motivation	ctp_C10	1	1	none			No corresponding process in the 172-process catalog
trm_558c7ae1eaf86	arithmetic processing		1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09883	arousal				none			No corresponding process in the 172-process catalog
trm_59d184d09066b	arousal (emotion)	ctp_C8	2		none			No corresponding process in the 172-process catalog
trm_59d184d0980bf	arousal (physical)				none			No corresponding process in the 172-process catalog
trm_4a3fd79d0988f	articulation	ctp_C6			none			No corresponding process in the 172-process catalog
trm_4a3fd79d0ba19	articulatory loop	ctp_C5	1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0989a	articulatory planning	ctp_C6	1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d098a6	articulatory rehearsal	ctp_C5	4	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d098b2	assimilation			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d098bd	association		1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d098c9	association learning	ctp_C5	7	3	exact	hed_associative_learning	Associative learning	Primary match from hed_process_to_atlas.tsv
trm_5521a5f310604	associative priming			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d098e0	attachment	ctp_C9	2		none			No corresponding process in the 172-process catalog
trm_4a3fd79d098eb	attended channel		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d098f7	attended stimulus				none			No corresponding process in the 172-process catalog
trm_4a3fd79d09902	attention	ctp_C2	29	19	related	hed_temporal_attention	Temporal attention	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0990e	attention capacity	ctp_C2	2	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b5d7	attention shift	ctp_C2	2	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b5fb	attention shifting	ctp_C2	12		exact	hed_attention_shifting	Attention shifting	Primary match from hed_process_to_atlas.tsv
trm_4a3fd79d0b5e3	attention span	ctp_C2	1	1	none			No corresponding process in the 172-process catalog
trm_510059e54b2cf	attentional bias		1		none			No corresponding process in the 172-process catalog
trm_4fea1aeaa7b17	attentional blink	ctp_C2	2	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09919	attentional effort	ctp_C2		2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0b5ef	attentional focusing	ctp_C2	12	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09925	attentional resources	ctp_C2		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09930	attentional state	ctp_C2		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09947	attitude			2	none			No corresponding process in the 172-process catalog
trm_i2BpAh3lWxDby	Attribution		1		none			No corresponding process in the 172-process catalog
trm_4a3fd79d09953	audiovisual perception	ctp_C1	1	3	none			No corresponding process in the 172-process catalog
trm_4a3fd79d0995e	audition	ctp_C1	3	1	none			No corresponding process in the 172-process catalog
trm_55b6b8e291dba	auditory arithmetic processing		1	1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09a10	auditory attention	ctp_C2	1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09a3d	auditory coding		1	4	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09a49	auditory encoding	ctp_C5	1	2	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09a55	auditory feedback			1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09a61	auditory grouping	ctp_C1		1	none			No corresponding process in the 172-process catalog
trm_4a3fd79d09a6c	auditory imagery				none			No corresponding process in the 172-process catalog
